text,category
I have issue with my login,Technical
Why is the error giving me trouble?,Technical
Why is the wrong size giving me trouble?,Returns
Can you check the status of my bug?,Technical
I have issue with my exchange,Biliing
I have issue with my damaged,Returns
I have issue with my return,Biliing
Why is the login giving me trouble?,Technical
Can you check the status of my internet?,Technical
I have issue with my broken item,Returns
I need to discuss the shipment.,Returns
I need to discuss the damaged.,Returns
Can you check the status of my error?,Technical
"Please help, my wrong size is not working.",Biliing
Can you check the status of my screen?,Technical
Urgent: return issue.,Returns
Can you check the status of my bug?,Technical
Can you check the status of my password?,Technical
"Please help, my wifi is not working.",Technical
Urgent: slow issue.,Technical
Can you check the status of my exchange?,Returns
Urgent: screen issue.,Technical
I need to discuss the broken item.,Biliing
I need to discuss the damaged.,Returns
Can you check the status of my shipment?,Returns
I need to discuss the wrong size.,Returns
I need to discuss the broken item.,Biliing
I need to discuss the broken item.,Returns
Why is the login giving me trouble?,Technical
"Please help, my refund is not working.",Biliing
I have issue with my refund,Returns
Can you check the status of my shipment?,Returns
Can you check the status of my bug?,Technical
I need to discuss the error.,Technical
Can you check the status of my login?,Technical
Why is the exchange giving me trouble?,Biliing
Can you check the status of my shipment?,Biliing
I need to discuss the damaged.,Biliing
I need to discuss the damaged.,Biliing
I have issue with my refund,Biliing
"Please help, my exchange is not working.",Biliing
Can you check the status of my return?,Biliing
"Please help, my refund is not working.",Biliing
Urgent: damaged issue.,Returns
I have issue with my wrong size,Biliing
"Please help, my screen is not working.",Technical
I need to discuss the damaged.,Returns
I need to discuss the damaged.,Biliing
Why is the error giving me trouble?,Technical
I have issue with my screen,Technical
Urgent: exchange issue.,Biliing
Urgent: damaged issue.,Returns
Can you check the status of my refund?,Returns
Urgent: screen issue.,Technical
I need to discuss the shipment.,Biliing
I have issue with my refund,Biliing
I have issue with my return,Biliing
Why is the damaged giving me trouble?,Returns
Why is the return giving me trouble?,Returns
I have issue with my refund,Biliing
I have issue with my wrong size,Returns
Urgent: screen issue.,Technical
I need to discuss the wifi.,Technical
I have issue with my exchange,Returns
Urgent: return issue.,Biliing
I need to discuss the return.,Returns
I need to discuss the broken item.,Returns
"Please help, my refund is not working.",Returns
Why is the shipment giving me trouble?,Returns
I need to discuss the damaged.,Biliing
Urgent: wrong size issue.,Returns
Can you check the status of my refund?,Returns
"Please help, my exchange is not working.",Biliing
I have issue with my wifi,Technical
I need to discuss the damaged.,Biliing
"Please help, my refund is not working.",Biliing
"Please help, my error is not working.",Technical
I have issue with my crash,Technical
"Please help, my wrong size is not working.",Biliing
Urgent: return issue.,Returns
Can you check the status of my exchange?,Biliing
"Please help, my wrong size is not working.",Biliing
I need to discuss the wifi.,Technical
I need to discuss the login.,Technical
I need to discuss the damaged.,Biliing
"Please help, my login is not working.",Technical
I need to discuss the refund.,Returns
Why is the shipment giving me trouble?,Returns
Can you check the status of my damaged?,Returns
I need to discuss the return.,Returns
Urgent: damaged issue.,Biliing
I have issue with my refund,Returns
Why is the return giving me trouble?,Biliing
Can you check the status of my shipment?,Biliing
I need to discuss the internet.,Technical
Urgent: crash issue.,Technical
Urgent: return issue.,Biliing
"Please help, my internet is not working.",Technical
Can you check the status of my return?,Biliing
Why is the bug giving me trouble?,Technical
I have issue with my refund,Biliing
Why is the internet giving me trouble?,Technical
I have issue with my return,Returns
"Please help, my error is not working.",Technical
"Please help, my exchange is not working.",Returns
I have issue with my damaged,Biliing
I need to discuss the shipment.,Biliing
Can you check the status of my wrong size?,Returns
I need to discuss the return.,Biliing
I need to discuss the broken item.,Biliing
Urgent: return issue.,Biliing
Can you check the status of my error?,Technical
Urgent: shipment issue.,Returns
Can you check the status of my broken item?,Returns
I need to discuss the refund.,Returns
Can you check the status of my broken item?,Biliing
Why is the wrong size giving me trouble?,Returns
I need to discuss the wrong size.,Returns
"Please help, my damaged is not working.",Returns
Urgent: exchange issue.,Biliing
I have issue with my exchange,Biliing
Can you check the status of my wifi?,Technical
Why is the exchange giving me trouble?,Returns
I have issue with my crash,Technical
Can you check the status of my wifi?,Technical
Urgent: damaged issue.,Biliing
I have issue with my broken item,Returns
I need to discuss the wifi.,Technical
Can you check the status of my return?,Returns
I need to discuss the return.,Returns
Urgent: password issue.,Technical
Urgent: wifi issue.,Technical
I have issue with my crash,Technical
I have issue with my exchange,Returns
Can you check the status of my exchange?,Returns
Can you check the status of my slow?,Technical
Why is the return giving me trouble?,Returns
"Please help, my wifi is not working.",Technical
Can you check the status of my broken item?,Returns
I have issue with my refund,Biliing
I need to discuss the damaged.,Biliing
I have issue with my error,Technical
I need to discuss the refund.,Returns
"Please help, my broken item is not working.",Biliing
